AppId	signaler	detected_ETS-related_type	ETS-related_type_oracle	correctness_comparison_result
com.funrary.androids.backgroundremover-391	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.javaexp.shareapk-480	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
kr.sira.ruler-56	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.hairstyle-178	android.os.Parcel.readException	Unknown	Unknown	true
com.netease.newsreader.activity-481	android.app.ContextImpl.makeFilename	ParaAndField	Parameter	false
me.dsa.echopoint-170	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.fishmy.android-494	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.azeus.anywherepad-110	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
com.smallapp.BlowApp-71	android.media.AudioRecord.startRecording	Field	Field	true
ar.com.grupoesfera.futbolfan-194	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
com.tresebrothers.games.cyberknights-168	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
kr.co.psynet-293	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.chimani.parks.free-247	android.app.LoadedApk.forgetServiceDispatcher	ParaAndField	ParaAndField	true
com.blogspot.MyAndroidApps4u.uk_lotto-273	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.melero.music-159	android.app.DownloadManager$Request.setDestinationInExternalPublicDir	Parameter	Parameter	true
org.vv.brainTwister-352	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
droidconsulting.livewallpaper11free-385	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
netgenius.bizcal-188	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.appsfabrica.naturepack-246	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
telecom.mdesk-5	android.os.Parcel.readException	Unknown	Unknown	true
com.mhsoft.sintongbangtong-200	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
tkstudio.wachatbotlite-368	android.view.ViewRootImpl.setView	Field	Field	true
it.drd.uuultimatemyplace-379	android.os.Parcel.readException	Unknown	Unknown	true
mynet.games.sound.fenbei-27	android.media.AudioRecord.startRecording	Field	Field	true
com.cenker.yardimci.app-308	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.meshref.pregnancy-265	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.kosherdev.koshergator-53	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.oilpricetool-284	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.blizzardscale.befemall-102	android.view.ViewRootImpl.setView	Field	Field	true
com.bestringtonesapps.sleepsounds-397	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.arkay.gkingujarati-301	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.igg.pokerdeluxe-79	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
nz.co.kiwibank.mobile-410	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.lifecake.android-10	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.inauinterpopo-318	android.os.Parcel.readException	Unknown	Unknown	true
